client_id,path,sentence,up_votes,down_votes,age,gender,accents,locale,segment
6c2c29ac0306366735b8e7a1045e68e57099be513a7ba3e3520b036e0908f1f2ab5069874187f7205582ba9c6ba7901e439c11dbf3b2e934325e79b5a253dc03,/scratch/s3944867/cv-corpus-8.0-2022-01-19/fy-NL/clips/common_voice_fy-NL_21514934.mp3,"""Alle hûnen binne trou.""",2,0,unknown,unknown,unknown,fy-NL,unknown
d47bac722f1bdbf0508994aeda3406118c039a89cc33c55691e6efbadc834a2bce685530e3d0b8b4e4468452955d88a470a60964a32a8581f0c7bf13626f6342,/scratch/s3944867/cv-corpus-8.0-2022-01-19/fy-NL/clips/common_voice_fy-NL_21524397.mp3,"""Dus jim meitsje hjir net komplete skippen mar ûnderdielen dêrfan?""",2,0,unknown,unknown,unknown,fy-NL,unknown
ddd1689db56740f5e7d778c0c2e9def49c0adaaa82c8a428af229f605a57062310fcf13887fc00fd750da6dd9a8c3291d00816604dae7ec78e2ee20cb3799373,/scratch/s3944867/cv-corpus-8.0-2022-01-19/fy-NL/clips/common_voice_fy-NL_21769507.mp3,"""De maatregel giet yn mei weromwurkjende krêft.""",2,0,sixties,female,unknown,fy-NL,unknown
91199b8a21c7695c30a3101cf128fd696b6829a27734a2c9fb88e7ad0f802e180b0816aea6daebf1074ad32b488e7b38025844c2daa380d3b2631c856972766b,/scratch/s3944867/cv-corpus-8.0-2022-01-19/fy-NL/clips/common_voice_fy-NL_23799475.mp3,"""Ja, dat is noch makliker.""",2,0,fifties,female,unknown,fy-NL,unknown
c1f2af71b742d91d9a83a052ca3111573ddc00483738c94e9db1c9f71fb8d2fb0a280c1725463e807c3ca883c7954635b52ece1debc0bc992279e358e131c8f1,/scratch/s3944867/cv-corpus-8.0-2022-01-19/fy-NL/clips/common_voice_fy-NL_21413041.mp3,"""Dit wetter dat hjir foar ús leit, hat lân west.""",2,0,fourties,female,unknown,fy-NL,unknown
18d624a18537ea2915b23a03c934ab925f48a7b4cbe70b5bb191d9fd3b8d3f3c77370cd93ff6c1b7b4bc60cdabf052377971ce08577b8d731fbd63cb03ca9b20,/scratch/s3944867/cv-corpus-8.0-2022-01-19/fy-NL/clips/common_voice_fy-NL_24605280.mp3,"""Hy hie eins archeolooch wurde wollen.""",2,0,sixties,female,unknown,fy-NL,unknown
fa8453f038c9de511f9861636a2e5679262afdb496e10173d87f65f141c507308d55604ef403fc2a741f13ced20135f020584439bddfd12d8898b5be6f863b4f,/scratch/s3944867/cv-corpus-8.0-2022-01-19/fy-NL/clips/common_voice_fy-NL_24740882.mp3,"""De keamer stie blau fan 'e reek.""",2,0,fourties,male,unknown,fy-NL,unknown
315c4048e122cf4da64149d367dc8dec6b26ca7c43df20106b27a7dcb836290f43e52ee0f7eb50738022709ed00b40a9423b00250112cf700884fc73fe62f7b9,/scratch/s3944867/cv-corpus-8.0-2022-01-19/fy-NL/clips/common_voice_fy-NL_20755798.mp3,"""Fan moandei ôf wurde hûs oan hûs pamfletten ferspraat.""",2,0,unknown,unknown,unknown,fy-NL,unknown
541d455d0860609b8e656846476a17607b288a98eb811f59110b7ae1c0a5274978af300ae02225f1762907835aaf355f7d2362f39ed0eb9115d2c0784898b37f,/scratch/s3944867/cv-corpus-8.0-2022-01-19/fy-NL/clips/common_voice_fy-NL_24689000.mp3,"""Ik moast tinke oan de sneintejûnen by ús thús.""",2,0,unknown,unknown,unknown,fy-NL,unknown
d623031d70284609b6448f194fd4a36c83cfc5dfe12b7b19c1e12f89274b5d1aec46d1688b85124b54b56eba0c02ae1cf78145da392623a6420a17d8b9f2252f,/scratch/s3944867/cv-corpus-8.0-2022-01-19/fy-NL/clips/common_voice_fy-NL_24798341.mp3,"""Do stiest der ek om bekend datst altyd rjochtút en iepenlik praatst.""",2,0,fifties,female,unknown,fy-NL,unknown
d47bac722f1bdbf0508994aeda3406118c039a89cc33c55691e6efbadc834a2bce685530e3d0b8b4e4468452955d88a470a60964a32a8581f0c7bf13626f6342,/scratch/s3944867/cv-corpus-8.0-2022-01-19/fy-NL/clips/common_voice_fy-NL_21590407.mp3,"""Twa kear wie er al as twadde einige.""",2,0,unknown,unknown,unknown,fy-NL,unknown
77388fdb0fa1f6e9610f0117fcb4a8c65e292a5219553321b77b36f43a3797b9af92e41176112a79deef97e92b9b0d4b087d1c6c17aa9a9ff450d06fe1e93ad5,/scratch/s3944867/cv-corpus-8.0-2022-01-19/fy-NL/clips/common_voice_fy-NL_21812404.mp3,"""Nimmen hat in biologyske klok mei in deilingte fan persys fjouwerentweintich oeren.""",2,0,unknown,unknown,unknown,fy-NL,unknown
d1c72623e99c3aa9d051b6fc1d5e006f14968a3c0697856552e38ab4b4826f4d2d4aeb9b62a0033a37db1a8b2c33cc4d9f4ab31ee1f14dfde2e86c2f4cbad1c0,/scratch/s3944867/cv-corpus-8.0-2022-01-19/fy-NL/clips/common_voice_fy-NL_24689078.mp3,"""Sa'n soad folk krije wy nea wer byinoar!""",2,0,fourties,female,unknown,fy-NL,unknown
